Id,Categoria,Letra,Palavra
1,Produto,A,Arroz
2,Produto,A,Açúcar
3,Produto,A,Álcool
4,Produto,A,Amaciante
5,Produto,A,Aspirador
6,Produto,B,Batom
7,Produto,B,Biscoito
8,Produto,B,Bicicleta
9,Produto,B,Bolsa
10,Produto,B,Brinquedo
11,Produto,C,Caderno
12,Produto,C,Camiseta
13,Produto,C,Chocolate
14,Produto,C,Colchão
15,Produto,C,Creme
16,Produto,D,Detergente
17,Produto,D,Desodorante
18,Produto,D,Disco
19,Produto,D,Doce
20,Produto,D,Drone
21,Produto,E,Escova
22,Produto,E,Esponja
23,Produto,E,Esmalte
24,Produto,E,Espelho
25,Produto,E,Estante
26,Produto,F,Fralda
27,Produto,F,Fogão
28,Produto,F,Fone
29,Produto,F,Farinha
30,Produto,F,Fita
31,Produto,G,Garrafa
32,Produto,G,Geladeira
33,Produto,G,Gel
34,Produto,G,Guarda-chuva
35,Produto,G,Grampeador
36,Produto,H,Headset
37,Produto,H,Hidratante
38,Produto,H,Higienizador
39,Produto,H,Helicóptero
40,Produto,H,Hambúrguer
41,Produto,I,Iogurte
42,Produto,I,Isqueiro
43,Produto,I,Impressora
44,Produto,I,Incenso
45,Produto,I,Inseticida
46,Produto,J,Jaqueta
47,Produto,J,Jarra
48,Produto,J,Joia
49,Produto,J,Jogo
50,Produto,J,Jeans
51,Produto,K,Ketchup
52,Produto,K,Kit
53,Produto,K,Kart
54,Produto,L,Lâmpada
55,Produto,L,Livro
56,Produto,L,Leite
57,Produto,L,Luva
58,Produto,L,Liquidificador
59,Produto,M,Máquina
60,Produto,M,Maquiagem
61,Produto,M,Mochila
62,Produto,M,Manteiga
63,Produto,M,Mel
64,Produto,N,Notebook
65,Produto,N,Necessaire
66,Produto,N,Navalha
67,Produto,N,Nata
68,Produto,N,Naftalina
69,Produto,O,Óculos
70,Produto,O,Óleo
71,Produto,O,Organizador
72,Produto,O,Ovos
73,Produto,O,Ombreira
74,Produto,P,Perfume
75,Produto,P,Pasta
76,Produto,P,Pilha
77,Produto,P,Panela
78,Produto,P,Pomada
79,Produto,Q,Queijo
80,Produto,Q,Quadro
